seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1673369349,0.5,2,1000,0.55,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369353,0.5,3,100,0.45,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369357,0.5,3,100,0.5,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369362,0.5,3,100,0.55,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369366,0.5,3,250,0.45,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369371,0.5,3,250,0.5,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369375,0.5,3,250,0.55,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369379,0.5,3,500,0.45,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369383,0.5,3,500,0.5,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369387,0.5,3,500,0.55,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369391,0.5,3,1000,0.45,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369395,0.5,3,1000,0.5,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369399,0.5,3,1000,0.55,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369403,1.0,2,100,0.45,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369407,1.0,2,100,0.5,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369411,1.0,2,100,0.55,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369415,1.0,2,250,0.45,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369419,1.0,2,250,0.5,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369424,1.0,2,250,0.55,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369428,1.0,2,500,0.45,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369432,1.0,2,500,0.5,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369435,1.0,2,500,0.55,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369439,1.0,2,1000,0.45,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369443,1.0,2,1000,0.5,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369447,1.0,2,1000,0.55,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369451,1.0,3,100,0.45,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369456,1.0,3,100,0.5,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369460,1.0,3,100,0.55,-6.57981313330706e-05,0.015265166469272276,0.9368337939202527,0.7062771417291749,0.9360442163442558,0.8894591393604422,0.48369343660823483,0.5358090812894225,0.528372625462035,0.6199957136733819,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399]"
1673369465,1.0,3,250,0.45,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369469,1.0,3,250,0.5,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369473,1.0,3,250,0.55,0.0,0.025819186735096734,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.8353730754046585,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.6152100903704982,"[499, 999, 1499, 1999, 2499]"
1673369477,1.0,3,500,0.45,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369481,1.0,3,500,0.5,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369485,1.0,3,500,0.55,0.0,0.014015001973943952,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7343071456770628,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5534541177641652,"[999, 1999]"
1673369489,1.0,3,1000,0.45,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369493,1.0,3,1000,0.5,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369497,1.0,3,1000,0.55,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
