seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1666970000,0.5,2,100,0.45,-4.953574164971013e-05,-8.851949099534026e-05,0.13877100945634377,0.1384702776756775,0.13312393490827681,0.1283790557022087,0.0892377551095781,0.08895355234185419,0.10589000679711447,0.1026083859011645,"[199, 442, 720, 1227, 1427, 1753, 2081, 2283, 2558, 2758, 2958, 3162, 3405, 3655, 3938, 4153, 4353, 4608, 4831, 5031, 5231, 5431, 5631, 5831, 6031, 6267, 6467, 6667, 6867, 7516, 7783, 8270, 8470, 8670, 8870, 9137, 9356, 9964, 10292, 10655, 10876, 11118, 11476, 11699, 12058, 12321, 12561, 12761, 12975, 13178, 13400, 13651, 13851, 14051, 14251, 14451, 14672, 14910, 15110, 15339, 15539, 15752, 16170, 16370, 16753, 17029, 17265, 17465, 17727, 18092, 18443, 18698, 19026, 19385, 19694, 19977, 20349, 20593, 20793, 21045, 21245, 21457, 21711, 21968, 22168, 22388, 22588, 22788, 22988, 23188, 23398, 23598, 23980, 24180, 24409, 24651, 24851, 25086, 25321, 25521, 25749, 25993, 26198, 26482, 26682, 27279, 27951, 28348, 28632, 28864, 29114, 29348, 29548, 29807]"
1666970078,0.5,2,100,0.5,-5.20106171393871e-05,-9.995336478183877e-05,0.13877100945634377,0.1384702776756775,0.13278978848531425,0.12697564072576603,0.0892377551095781,0.08895355234185419,0.10570306386455365,0.10167022750442638,"[199, 442, 720, 1226, 1426, 1753, 2081, 2283, 2557, 2757, 2957, 3157, 3405, 3655, 3938, 4153, 4353, 4608, 4831, 5031, 5231, 5431, 5631, 5831, 6031, 6267, 6467, 6667, 6867, 7185, 7509, 7710, 8270, 8470, 8670, 8870, 9137, 9356, 9963, 10292, 10655, 10876, 11118, 11476, 11699, 12058, 12321, 12561, 12761, 12975, 13178, 13400, 13651, 13851, 14051, 14251, 14451, 14672, 14910, 15110, 15338, 15538, 15751, 16170, 16370, 16753, 17029, 17265, 17465, 17727, 18092, 18442, 18698, 19026, 19385, 19694, 19975, 20349, 20593, 20793, 21044, 21244, 21456, 21711, 21968, 22168, 22388, 22588, 22788, 22988, 23188, 23398, 23598, 23980, 24180, 24409, 24651, 24851, 25085, 25321, 25521, 25749, 25993, 26198, 26481, 26681, 27279, 27951, 28348, 28632, 28862, 29113, 29348, 29548, 29805]"
1666970162,0.5,2,100,0.55,-4.1125713595389685e-05,-0.0001199499979865537,0.13877100945634377,0.1384702776756775,0.13395930096568318,0.12443612791125071,0.0892377551095781,0.08895355234185419,0.10818940059862736,0.09950925966954456,"[199, 442, 720, 1226, 1426, 1752, 2081, 2283, 2557, 2757, 2957, 3157, 3405, 3655, 3938, 4153, 4353, 4604, 4831, 5031, 5231, 5431, 5631, 5831, 6031, 6267, 6467, 6667, 6867, 7185, 7509, 7710, 8270, 8470, 8670, 8870, 9137, 9356, 9963, 10292, 10655, 10876, 11117, 11476, 11699, 12058, 12321, 12561, 12761, 12975, 13176, 13400, 13600, 13822, 14022, 14222, 14422, 14622, 14835, 15039, 15244, 15444, 15679, 15921, 16155, 16362, 16753, 17029, 17265, 17465, 17727, 18091, 18442, 18698, 19026, 19384, 19694, 19975, 20349, 20593, 20793, 21044, 21244, 21456, 21711, 21968, 22168, 22387, 22587, 22787, 22987, 23187, 23398, 23598, 23824, 24153, 24409, 24651, 24851, 25085, 25320, 25520, 25749, 25993, 26197, 26481, 26681, 27279, 27770, 28020, 28341, 28631, 28862, 29113, 29348, 29548, 29799]"
1666970236,0.5,2,250,0.45,0.0006732067639098273,0.0005356170603370162,0.13877100945634377,0.1384702776756775,0.1616600394292779,0.15668125772713604,0.0892377551095781,0.08895355234185419,0.1210753746219565,0.11609482692000257,"[2545, 3073, 4481, 4983, 5483, 5983, 6493, 7669, 8513, 9013, 11111, 11620, 12708, 13958, 14509, 15061, 15707, 16406, 17469, 17969, 19704, 20354, 20943, 21472, 22307, 22826, 23326, 24638, 25505, 26007, 26584, 27579, 28777, 29282]"
1666970366,0.5,2,250,0.5,0.0007056386226091336,0.0005552727322759886,0.13877100945634377,0.1384702776756775,0.1627627226250543,0.1573495505730611,0.0892377551095781,0.08895355234185419,0.12222365127774787,0.11657337970174658,"[2544, 3073, 4481, 4983, 5483, 5983, 6493, 7669, 8513, 9013, 11111, 11620, 12707, 13946, 14509, 15061, 15707, 16406, 17469, 17969, 19703, 20354, 20943, 21472, 22307, 22826, 23326, 24638, 25505, 26007, 26584, 27579, 28777, 29282]"
1666970496,0.5,2,250,0.55,0.0006977763538335438,0.0005474104635003996,0.13877100945634377,0.1384702776756775,0.16249540548668426,0.15708223343469108,0.0892377551095781,0.08895355234185419,0.12197052964772313,0.11633520407696425,"[2544, 3073, 4481, 4982, 5482, 5982, 6493, 7669, 8513, 9013, 11111, 11620, 12707, 13946, 14508, 15061, 15707, 16405, 17469, 17969, 19702, 20354, 20943, 21472, 22306, 22826, 23326, 24638, 25505, 26007, 26584, 27579, 28777, 29282]"
1666970619,0.5,2,500,0.45,0.0014795261061174786,0.0013718567031628813,0.13877100945634377,0.1384702776756775,0.16540247936645838,0.16316369833260935,0.0892377551095781,0.08895355234185419,0.12366864603574797,0.12091385585572263,"[2431, 5286, 6286, 7871, 8871, 11182, 12793, 14065, 15065, 16717, 17717, 19288, 20719, 22882, 23882, 24882, 26344, 27788]"
1666970748,0.5,2,500,0.5,0.0014758133680845614,0.0013551493820147546,0.13877100945634377,0.1384702776756775,0.16533565008186588,0.16286296655194307,0.0892377551095781,0.08895355234185419,0.12409574797153466,0.12084286914911735,"[2429, 5286, 6286, 7871, 8871, 11178, 12793, 14062, 15062, 16716, 17716, 19288, 20708, 22882, 23882, 24882, 26343, 27788]"
1666970874,0.5,2,500,0.55,0.0013829949172616323,0.0012419108720107819,0.13877100945634377,0.1384702776756775,0.16366491796705315,0.16082467337187156,0.0892377551095781,0.08895355234185419,0.12304662316441388,0.11943402810277558,"[2429, 5286, 6286, 7868, 8868, 11177, 12793, 14060, 15060, 16060, 17584, 19268, 20708, 22882, 23882, 24882, 26343, 27785]"
1666971003,0.5,2,1000,0.45,0.0012272286806987922,0.0013487364708669887,0.13877100945634377,0.1384702776756775,0.15227052494403048,0.15330637885521436,0.0892377551095781,0.08895355234185419,0.11072811283811129,0.11205829051611334,"[2115, 5289, 7289, 10826, 13834, 15834, 19396, 22945, 24945, 27621, 29621]"
1666971109,0.5,2,1000,0.5,0.0012211532911903826,0.0013456987761127838,0.13877100945634377,0.1384702776756775,0.15220369565943798,0.1532729642129181,0.0892377551095781,0.08895355234185419,0.11075879957645374,0.1122907006509496,"[2115, 5289, 7289, 10826, 13832, 15832, 19396, 22945, 24945, 27621, 29621]"
1666971220,0.5,2,1000,0.55,0.001272794102011865,0.0013882265026716517,0.13877100945634377,0.1384702776756775,0.15277174457847428,0.15374076920506566,0.0892377551095781,0.08895355234185419,0.11124234935558323,0.1128168357381522,"[2099, 5285, 7285, 10826, 13832, 15832, 19395, 22945, 24945, 27621, 29621]"
